depa	ano	culti	precio
ANTI	2015	NARANJA VALENCIA	1042,5
ANTI	2015	PAPA CAPIRA	1229,06993
ANTI	2015	PAPA CRIOLLA LIMPIA	1597,580153
ANTI	2015	PAPA NEVADA	1598,905263
ANTI	2015	PAPA PURACE	991,8333333
ANTI	2015	PAPA R-12 NEGRA	1167,416667
ANTI	2015	PAPAYA HAWAIANA	1366,666667
ANTI	2015	PAPAYA MARADOL	1545,0625
ANTI	2015	PAPAYA MELONA	1151,25
ANTI	2015	PAPAYA REDONDA	1151,25
ANTI	2015	PAPAYA TAINUNG	1250,8
ANTI	2015	PATILLA	689,0833333
ANTI	2015	PATILLA BABY	1825,75
ANTI	2015	PEPINO COHOMBRO	868,5357143
ANTI	2015	PEPINO DE RELLENAR	1949,5
ANTI	2015	PERA IMPORTADA	3836,291667
ANTI	2015	PERA NACIONAL	1539,5
ANTI	2015	PEREJIL	3026,583333
ANTI	2015	PIMENTON	1271,71875
ANTI	2015	PIMENTON VERDE	2792,25
ANTI	2015	PINA GOLD	1421,388889
ANTI	2015	PINA MANZANA	1018,25
ANTI	2015	PINA PEROLERA	810,4166667
ANTI	2015	PITAHAYA	5206,75
ANTI	2015	PLATANO COMINO	901,75
ANTI	2015	PLATANO DOMINICO VERDE	692,94
ANTI	2015	PLATANO GUINEO	545,5116279
ANTI	2015	PLATANO HARTON MADURO	1146,333333
ANTI	2015	PLATANO HARTON VERDE	1045,333333
ANTI	2015	PLATANO HARTON VERDE EJE CAFETERO	1307,8
ANTI	2015	RABANO ROJO	1189,916667
ANTI	2015	REMOLACHA	936,6166667
ANTI	2015	REMOLACHA BOGOTANA	860,1
ANTI	2015	REMOLACHA REGIONAL	786,6666667
ANTI	2015	REPOLLO BLANCO	396,4895833
ANTI	2015	REPOLLO BLANCO BOGOTANO	618,25
ANTI	2015	REPOLLO MORADO	400,2222222
ANTI	2015	TANGELO	2085,875
ANTI	2015	TOMATE CHONTO	1235,923077
ANTI	2015	TOMATE CHONTO REGIONAL	1352,898148
ANTI	2015	TOMATE DE ARBOL	1223,258333
ANTI	2015	TOMATE LARGA VIDA	2406,333333
ANTI	2015	TOMATE RINON	2024,777778
ANTI	2015	UCHUVA CON CASCARA	1772,733333
ANTI	2015	UVA IMPORTADA	6084,375
ANTI	2015	UVA ISABELA	2833,166667
ANTI	2015	UVA RED GLOBE NACIONAL	4037,458333
ANTI	2015	UVA VERDE	3966,25
ANTI	2015	YUCA CHIROSA	1317,611111
ANTI	2015	YUCA CRIOLLA	1404,541667
ANTI	2015	YUCA ICA	1401,166667
ANTI	2015	ZANAHORIA	532,6666667
ANTI	2015	ZANAHORIA BOGOTANA	874,5
ANTI	2015	ZANAHORIA LARGA VIDA	647,2738095
ANTI	2015	ZAPOTE	1732,2
ANTI	2016	ACELGA	1485,166667
ANTI	2016	AGUACATE COMUN	1854,742857
ANTI	2016	AGUACATE HASS	1978,766667
ANTI	2016	AGUACATE PAPELILLO	2994,459459
ANTI	2016	AHUYAMA	787,375
ANTI	2016	AJI TOPITO DULCE	2259,916667
ANTI	2016	AJO	4462
ANTI	2016	APIO	873,8541667
ANTI	2016	ARRACACHA BLANCA	2565,030303
ANTI	2016	ARROZ DE PRIMERA	2943,041667
ANTI	2016	ARVEJA VERDE EN VAINA	2697,242424
ANTI	2016	ARVEJA VERDE EN VAINA PASTUSA	2619,111111
ANTI	2016	ARVEJA VERDE SECA IMPORTADA	2763,875
ANTI	2016	BANANO BOCADILLO	1003,75
ANTI	2016	BANANO CRIOLLO	890,0416667
ANTI	2016	BANANO URABA	861,7083333
ANTI	2016	BERENJENA	1719,166667
ANTI	2016	BOROJO	2939,5
ANTI	2016	BREVA	4052,416667
ANTI	2016	BROCOLI	1505
ANTI	2016	CALABACIN	1013,083333
ANTI	2016	CALABAZA	713,0833333
ANTI	2016	CEBOLLA CABEZONA BLANCA	1871,729167
ANTI	2016	CEBOLLA CABEZONA BLANCA IMPORTADA	1320
ANTI	2016	CEBOLLA CABEZONA ROJA IMPORTADA	2013,583333
ANTI	2016	CEBOLLA JUNCA	1492,266667
ANTI	2016	CEBOLLA PUERRO	1979,333333
ANTI	2016	CHOCOLO MAZORCA	784,9888889
ANTI	2016	CIDRA	506,6481481
ANTI	2016	CILANTRO	2708,796296
ANTI	2016	CIRUELA IMPORTADA	7197,333333
ANTI	2016	CIRUELA ROJA	2623,75
ANTI	2016	COCO	5061,583333
ANTI	2016	COLES	1109,375
ANTI	2016	COLIFLOR	1362,125
ANTI	2016	CURUBA	1019,916667
ANTI	2016	DURAZNO IMPORTADO	6155,7
ANTI	2016	DURAZNO NACIONAL	3896,083333
ANTI	2016	ESPINACA	1253,694444
ANTI	2016	FRESA	4969,944444
ANTI	2016	FRIJOL CARGAMANTO BLANCO	6857,790123
ANTI	2016	FRIJOL CARGAMANTO ROJO	5883,166667
ANTI	2016	FRIJOL NIMA CALIMA	4557
ANTI	2016	FRIJOL RADICAL	4525,25
ANTI	2016	FRIJOL URIBE ROSADO	4643,916667
ANTI	2016	FRIJOL VERDE CARGAMANTO	2293,325
ANTI	2016	GARBANZO IMPORTADO	4438,625
ANTI	2016	GRANADILLA	3537,130435
ANTI	2016	GUANABANA	1947,770833
ANTI	2016	GUAYABA MANZANA	2290,333333
ANTI	2016	GUAYABA PERA	1405,895833
ANTI	2016	GUAYABA PERA VALLUNA	1473,714286
ANTI	2016	GULUPA	1148,233333
ANTI	2016	HABICHUELA	1641,5
ANTI	2016	HABICHUELA LARGA	2108,666667
ANTI	2016	HIGO	2788,125
ANTI	2016	KIWI	5309,583333
ANTI	2016	LECHUGA BATAVIA	799,6721311
ANTI	2016	LECHUGA CRESPA MORADA	1939,333333
ANTI	2016	LECHUGA CRESPA VERDE	1296,083333
ANTI	2016	LENTEJA IMPORTADA	4604,043478
ANTI	2016	LIMON COMUN	1421,777778
ANTI	2016	LIMON MANDARINO	801,8833333
ANTI	2016	LIMON TAHITI	1638,166667
ANTI	2016	LULO	3301,791667
ANTI	2016	MAIZ AMARILLO CASCARA	1230,555556
ANTI	2016	MAIZ AMARILLO CASCARA IMPORTADO	938,3333333
ANTI	2016	MAIZ AMARILLO TRILLADO	1403
ANTI	2016	MAIZ BLANCO CASCARA	1324,47619
ANTI	2016	MAIZ BLANCO TRILLADO	1496,416667
ANTI	2016	MAIZ PIRA	2701,333333
ANTI	2016	MANDARINA COMUN	848
ANTI	2016	MANDARINA ONECO	1679,177778
ANTI	2016	MANGO COMUN	1190,147059
ANTI	2016	MANGO COSTENO	791,1666667
ANTI	2016	MANGO DE AZUCAR	1662,125
ANTI	2016	MANGO MANZANO	1402,222222
ANTI	2016	MANGO TOMMY	2564,06383
ANTI	2016	MANGO YULIMA	1516,3
ANTI	2016	MANZANA NACIONAL	3297,083333
ANTI	2016	MANZANA ROJA IMPORTADA	4482,194444
ANTI	2016	MANZANA ROYAL GALA IMPORTADA	4428,333333
ANTI	2016	MANZANA VERDE IMPORTADA	4555,277778
ANTI	2016	MARACUYA	1950,728814
ANTI	2016	MARACUYA ANTIOQUENO	1892,333333
ANTI	2016	MARACUYA VALLUNO	2727,416667
ANTI	2016	MELON CANTALUP	2056,25
ANTI	2016	MORA DE CASTILLA	2674,041667
ANTI	2016	NARANJA COMUN	402,4583333
ANTI	2016	NARANJA VALENCIA	1219,479167
ANTI	2016	PAPA CAPIRA	1556,173611
ANTI	2016	PAPA CRIOLLA LIMPIA	1738,488372
ANTI	2016	PAPA NEVADA	2076,208333
ANTI	2016	PAPA PURACE	1172,083333
ANTI	2016	PAPA R-12 NEGRA	1388,75
ANTI	2016	PAPAYA HAWAIANA	1435,244444
ANTI	2016	PAPAYA MARADOL	1757,1875
ANTI	2016	PAPAYA MELONA	1282,25
ANTI	2016	PAPAYA REDONDA	1281,583333
ANTI	2016	PAPAYA TAINUNG	1376,166667
ANTI	2016	PATILLA	812,25
ANTI	2016	PATILLA BABY	1781,75
ANTI	2016	PEPINO COHOMBRO	923,2
ANTI	2016	PEPINO DE RELLENAR	2494,083333
ANTI	2016	PERA IMPORTADA	4423,708333
ANTI	2016	PERA NACIONAL	2005,555556
ANTI	2016	PEREJIL	3648,666667
ANTI	2016	PIMENTON	1436,434783
ANTI	2016	PIMENTON VERDE	2725,083333
