depa	ano	tipo	precio
CORD	2020	ARRENDAMIENTO	760714,39
CORD	2020	FERTILIZANTE	76022,95
CORD	2020	FUNGICIDA	20831,09
CORD	2020	HERBICIDA	37935,97
CORD	2020	INSECTICIDA	22251,51
CORD	2020	RIEGO	33,25
HUIL	2013	ARRENDAMIENTO	1109523,86
HUIL	2013	FERTILIZANTE	40096,36
HUIL	2013	FUNGICIDA	17227,25
HUIL	2013	HERBICIDA	23860,79
HUIL	2013	INSECTICIDA	20141,24
HUIL	2013	RIEGO	5333,33
HUIL	2014	ARRENDAMIENTO	1566667,00
HUIL	2014	FERTILIZANTE	36563,61
HUIL	2014	FUNGICIDA	17040,94
HUIL	2014	HERBICIDA	21608,72
HUIL	2014	INSECTICIDA	18732,09
HUIL	2014	RIEGO	7000,00
HUIL	2015	ARRENDAMIENTO	1034358,92
HUIL	2015	FERTILIZANTE	51617,93
HUIL	2015	FUNGICIDA	18704,28
HUIL	2015	HERBICIDA	22588,01
HUIL	2015	INSECTICIDA	23022,08
HUIL	2015	RIEGO	7000,00
HUIL	2016	ARRENDAMIENTO	1135416,88
HUIL	2016	FERTILIZANTE	45300,56
HUIL	2016	FUNGICIDA	20166,62
HUIL	2016	HERBICIDA	27803,90
HUIL	2016	INSECTICIDA	26728,16
HUIL	2016	RIEGO	7333,33
HUIL	2017	ARRENDAMIENTO	1203863,59
HUIL	2017	FERTILIZANTE	46463,26
HUIL	2017	FUNGICIDA	21099,89
HUIL	2017	HERBICIDA	33840,51
HUIL	2017	INSECTICIDA	27289,02
HUIL	2017	RIEGO	6750,00
HUIL	2018	ARRENDAMIENTO	1262775,46
HUIL	2018	FERTILIZANTE	49854,99
HUIL	2018	FUNGICIDA	21103,08
HUIL	2018	HERBICIDA	36026,45
HUIL	2018	INSECTICIDA	27421,88
HUIL	2018	RIEGO	8333,33
HUIL	2019	ARRENDAMIENTO	1316567,48
HUIL	2019	FERTILIZANTE	56191,09
HUIL	2019	FUNGICIDA	20774,99
HUIL	2019	HERBICIDA	37154,46
HUIL	2019	INSECTICIDA	26930,24
HUIL	2019	RIEGO	9875,00
HUIL	2020	ARRENDAMIENTO	1127156,02
HUIL	2020	FERTILIZANTE	55755,65
HUIL	2020	FUNGICIDA	21565,05
HUIL	2020	HERBICIDA	36687,61
HUIL	2020	INSECTICIDA	29940,61
HUIL	2020	RIEGO	9937,50
MAGD	2013	ARRENDAMIENTO	144166,50
MAGD	2013	FERTILIZANTE	34587,02
MAGD	2013	FUNGICIDA	18365,81
MAGD	2013	HERBICIDA	31069,97
MAGD	2013	INSECTICIDA	23825,69
MAGD	2014	ARRENDAMIENTO	189999,80
MAGD	2014	FERTILIZANTE	17483,04
MAGD	2014	FUNGICIDA	20414,11
MAGD	2014	HERBICIDA	30413,68
MAGD	2014	INSECTICIDA	19831,25
MAGD	2015	ARRENDAMIENTO	205897,46
MAGD	2015	FERTILIZANTE	17002,70
MAGD	2015	FUNGICIDA	18500,00
MAGD	2015	HERBICIDA	32299,64
MAGD	2015	INSECTICIDA	21700,72
MAGD	2016	ARRENDAMIENTO	215555,73
MAGD	2016	FERTILIZANTE	18653,50
MAGD	2016	FUNGICIDA	18793,50
MAGD	2016	HERBICIDA	32641,01
MAGD	2016	INSECTICIDA	24594,34
MAGD	2017	ARRENDAMIENTO	275000,06
MAGD	2017	FERTILIZANTE	20807,86
MAGD	2017	FUNGICIDA	19028,17
MAGD	2017	HERBICIDA	33742,70
MAGD	2017	INSECTICIDA	23283,65
MAGD	2018	ARRENDAMIENTO	284523,79
MAGD	2018	FERTILIZANTE	23931,25
MAGD	2018	FUNGICIDA	21104,12
MAGD	2018	HERBICIDA	37154,51
MAGD	2018	INSECTICIDA	22570,48
MAGD	2019	ARRENDAMIENTO	433750,13
MAGD	2019	FUNGICIDA	21637,95
MAGD	2019	HERBICIDA	37722,66
MAGD	2019	INSECTICIDA	20901,15
MAGD	2020	ARRENDAMIENTO	452916,63
MAGD	2020	FERTILIZANTE	27400,00
MAGD	2020	FUNGICIDA	22365,79
MAGD	2020	HERBICIDA	36983,47
MAGD	2020	INSECTICIDA	22098,85
META	2013	ARRENDAMIENTO	513986,19
META	2013	FERTILIZANTE	53796,31
META	2013	FUNGICIDA	15214,12
META	2013	HERBICIDA	29596,42
META	2013	INSECTICIDA	21658,28
META	2014	ARRENDAMIENTO	440636,93
META	2014	FERTILIZANTE	29998,12
META	2014	FUNGICIDA	16250,15
META	2014	HERBICIDA	31723,27
META	2014	INSECTICIDA	18538,39
META	2015	ARRENDAMIENTO	445549,95
META	2015	FERTILIZANTE	45552,27
META	2015	FUNGICIDA	18595,47
META	2015	HERBICIDA	30398,39
META	2015	INSECTICIDA	19220,60
META	2016	ARRENDAMIENTO	503888,88
META	2016	FERTILIZANTE	38962,56
META	2016	FUNGICIDA	16458,81
META	2016	HERBICIDA	31069,09
META	2016	INSECTICIDA	21724,01
META	2017	ARRENDAMIENTO	558333,33
META	2017	FERTILIZANTE	30507,01
META	2017	FUNGICIDA	16669,58
META	2017	HERBICIDA	32441,37
META	2017	INSECTICIDA	22075,94
META	2018	ARRENDAMIENTO	511138,83
META	2018	FERTILIZANTE	49850,00
META	2018	FUNGICIDA	16621,98
META	2018	HERBICIDA	35147,05
META	2018	INSECTICIDA	21605,85
META	2019	ARRENDAMIENTO	426964,89
META	2019	FERTILIZANTE	55463,68
META	2019	FUNGICIDA	18498,21
META	2019	HERBICIDA	37577,58
META	2019	INSECTICIDA	23500,03
META	2020	ARRENDAMIENTO	369809,50
META	2020	FERTILIZANTE	60281,55
META	2020	FUNGICIDA	18728,42
META	2020	HERBICIDA	38990,69
META	2020	INSECTICIDA	25590,32
NARI	2013	ARRENDAMIENTO	1092045,46
NARI	2013	FERTILIZANTE	43803,69
NARI	2013	FUNGICIDA	15192,02
NARI	2013	HERBICIDA	18465,93
NARI	2013	INSECTICIDA	20677,13
NARI	2013	RIEGO	2500,00
NARI	2014	ARRENDAMIENTO	1329166,75
NARI	2014	FERTILIZANTE	44942,22
NARI	2014	FUNGICIDA	14880,81
NARI	2014	HERBICIDA	17211,12
NARI	2014	INSECTICIDA	20980,87
NARI	2014	RIEGO	2375,00
NARI	2015	ARRENDAMIENTO	1321111,14
NARI	2015	FERTILIZANTE	49365,31
NARI	2015	FUNGICIDA	16196,84
NARI	2015	HERBICIDA	21048,63
NARI	2015	INSECTICIDA	22436,26
NARI	2015	RIEGO	2875,00
NARI	2016	ARRENDAMIENTO	1221202,20
NARI	2016	FERTILIZANTE	44590,73
NARI	2016	FUNGICIDA	17880,96
NARI	2016	HERBICIDA	22542,75
NARI	2016	INSECTICIDA	23485,69
NARI	2016	RIEGO	3166,67
NARI	2017	ARRENDAMIENTO	1369047,59
NARI	2017	FERTILIZANTE	42929,72
NARI	2017	FUNGICIDA	18423,63
NARI	2017	HERBICIDA	22541,27
NARI	2017	INSECTICIDA	24435,22
NARI	2017	RIEGO	3166,67
NARI	2018	ARRENDAMIENTO	1413717,93
NARI	2018	FERTILIZANTE	45789,53
NARI	2018	FUNGICIDA	18785,46
NARI	2018	HERBICIDA	25223,11
NARI	2018	INSECTICIDA	24487,41
NARI	2018	RIEGO	4333,33
